age,gender,location,marital_status,plan_type,monthly_value,contract_duration_months,payment_method,avg_monthly_minutes,data_usage_gb,num_services,num_complaints,support_calls,service_failures,last_interaction_days,app_usage_score,total_spent,late_payments,churn
66,Feminino,Urbano,Divorciado,Semestral,78.77,14,Boleto Bancário,401.69,55.4,1,0,0,0,110,4.9,1102.78,1,0
46,Feminino,Urbano,Divorciado,Semestral,140.48,30,Boleto Bancário,1497.7,41.29,1,1,5,1,28,1.1,4214.4,0,0
23,Masculino,Rural,Divorciado,Anual,149.59,29,Cartão de Crédito,1485.59,39.13,4,0,7,1,151,4.1,4338.11,0,0
31,Masculino,Subúrbio,Divorciado,Mensal,135.87,21,Boleto Bancário,692.69,42.95,4,0,9,0,10,2.7,2853.27,0,1
32,Feminino,Urbano,Solteiro,Semestral,172.84,20,Boleto Bancário,613.61,46.47,2,0,7,1,152,3.9,3456.8,0,0
55,Masculino,Urbano,Casado,Anual,91.75,46,Boleto Bancário,1242.97,42.54,2,0,9,0,42,2.3,4220.5,0,0
46,Feminino,Urbano,Solteiro,Semestral,167.12,25,Cartão de Crédito,780.88,59.32,3,0,5,0,86,1.9,4178.0,0,0
33,Masculino,Urbano,Solteiro,Semestral,96.94,36,Boleto Bancário,347.64,77.67,2,2,3,1,137,3.9,3489.84,0,0
27,Feminino,Urbano,Casado,Semestral,48.86,46,Cartão de Crédito,1430.46,17.11,2,0,4,0,169,4.3,2247.56,1,0
52,Masculino,Urbano,Solteiro,Mensal,88.62,24,Boleto Bancário,701.65,76.73,3,0,7,0,64,1.5,2126.88,0,0
54,Masculino,Subúrbio,Divorciado,Semestral,141.44,19,Boleto Bancário,417.22,7.59,3,0,0,1,119,2.3,2687.36,0,0
68,Feminino,Subúrbio,Casado,Mensal,83.92,19,Boleto Bancário,212.44,39.2,1,2,0,0,73,2.6,1594.48,1,1
45,Masculino,Subúrbio,Divorciado,Semestral,70.47,41,Cartão de Crédito,90.5,96.77,1,0,8,0,130,2.3,2889.27,0,0
21,Masculino,Urbano,Solteiro,Anual,152.1,15,Cartão de Crédito,541.95,59.14,3,1,6,0,72,2.0,2281.5,0,0
60,Masculino,Subúrbio,Divorciado,Semestral,31.19,8,Débito Automático,664.6,54.02,2,0,9,0,126,1.6,249.52,0,1
64,Masculino,Urbano,Divorciado,Mensal,179.48,36,Débito Automático,140.24,16.05,4,0,8,0,109,2.4,6461.28,0,0
24,Masculino,Urbano,Casado,Mensal,199.56,2,Débito Automático,200.92,12.16,2,0,6,0,168,4.5,399.12,0,0
55,Feminino,Subúrbio,Solteiro,Anual,157.69,36,Débito Automático,468.07,69.54,3,0,2,0,104,4.7,5676.84,0,0
62,Masculino,Urbano,Divorciado,Anual,114.44,6,Boleto Bancário,432.06,98.72,2,0,6,0,102,1.9,686.64,0,0
51,Masculino,Urbano,Solteiro,Mensal,50.04,34,Cartão de Crédito,587.66,14.01,2,3,6,0,80,1.4,1701.36,0,1
52,Feminino,Subúrbio,Solteiro,Mensal,57.95,2,Cartão de Crédito,438.43,40.19,3,1,7,0,128,1.5,115.9,0,1
67,Feminino,Urbano,Casado,Mensal,188.9,15,Cartão de Crédito,1292.96,45.79,2,0,1,0,17,1.2,2833.5,0,0
64,Masculino,Subúrbio,Casado,Semestral,97.88,28,Boleto Bancário,1045.69,25.09,4,0,3,0,140,4.6,2740.64,1,0
59,Feminino,Subúrbio,Divorciado,Mensal,150.04,17,Boleto Bancário,1163.0,73.39,4,0,7,0,164,3.6,2550.68,1,0
45,Masculino,Urbano,Solteiro,Mensal,108.64,10,Boleto Bancário,972.07,89.17,2,0,5,0,122,4.2,1086.4,0,0
51,Feminino,Urbano,Solteiro,Semestral,131.56,10,Cartão de Crédito,438.22,41.29,2,0,5,0,144,1.6,1315.6,1,1
44,Masculino,Urbano,Casado,Mensal,117.47,17,Débito Automático,872.93,77.73,1,0,8,1,50,3.3,1996.99,0,0
29,Masculino,Subúrbio,Divorciado,Mensal,156.71,28,Boleto Bancário,537.61,25.92,4,0,7,0,123,2.1,4387.88,0,1
58,Feminino,Subúrbio,Casado,Semestral,113.67,16,Boleto Bancário,852.13,21.37,1,0,0,0,104,3.7,1818.72,0,0
18,Masculino,Subúrbio,Casado,Anual,151.39,19,Cartão de Crédito,788.18,91.06,4,2,6,0,125,4.0,2876.41,0,0
38,Masculino,Urbano,Solteiro,Semestral,30.81,14,Cartão de Crédito,960.38,53.48,1,0,8,0,109,2.2,431.34,0,1
24,Feminino,Urbano,Solteiro,Semestral,143.56,44,Cartão de Crédito,859.32,43.27,2,0,2,0,63,2.9,6316.64,0,0
38,Masculino,Urbano,Divorciado,Semestral,88.15,15,Débito Automático,915.9,29.89,4,1,6,0,140,4.0,1322.25,0,1
47,Masculino,Subúrbio,Solteiro,Mensal,156.57,7,Débito Automático,366.35,78.4,2,0,6,0,2,3.8,1095.99,0,1
41,Feminino,Rural,Solteiro,Semestral,30.87,46,Débito Automático,1334.43,75.2,3,0,5,0,7,3.2,1420.02,0,0
33,Masculino,Urbano,Solteiro,Mensal,67.04,16,Débito Automático,366.6,24.15,1,0,6,0,80,3.6,1072.64,0,1
35,Masculino,Urbano,Solteiro,Mensal,134.56,10,Débito Automático,1158.77,92.02,2,0,4,0,152,1.8,1345.6,0,0
48,Feminino,Urbano,Divorciado,Mensal,70.82,46,Cartão de Crédito,1497.0,28.27,4,2,7,0,115,3.1,3257.72,1,0
27,Feminino,Subúrbio,Divorciado,Mensal,198.08,17,Boleto Bancário,577.6,70.69,3,3,2,0,142,4.1,3367.36,1,0
51,Feminino,Urbano,Solteiro,Mensal,148.61,33,Débito Automático,1311.65,55.24,4,0,5,0,8,2.7,4904.13,0,0
50,Masculino,Subúrbio,Solteiro,Semestral,35.65,25,Débito Automático,840.42,21.47,4,0,6,1,87,3.5,891.25,0,0
19,Masculino,Subúrbio,Casado,Mensal,42.93,26,Cartão de Crédito,239.68,48.49,3,2,1,0,172,1.3,1116.18,0,1
46,Feminino,Urbano,Solteiro,Mensal,84.95,5,Débito Automático,1415.12,7.44,4,0,2,0,36,3.2,424.75,0,0
62,Feminino,Subúrbio,Divorciado,Anual,130.03,5,Cartão de Crédito,1076.21,85.71,3,0,3,0,173,2.0,650.15,0,0
30,Feminino,Urbano,Divorciado,Semestral,143.51,18,Boleto Bancário,1119.97,12.75,4,0,9,0,151,4.2,2583.18,0,0
51,Masculino,Urbano,Solteiro,Anual,173.58,3,Boleto Bancário,1488.34,35.48,3,0,5,0,38,3.3,520.74,0,0
61,Masculino,Urbano,Solteiro,Anual,51.73,8,Boleto Bancário,393.49,96.68,4,0,1,2,124,4.8,413.84,0,0
29,Feminino,Urbano,Divorciado,Semestral,66.71,4,Cartão de Crédito,1408.88,25.98,4,4,6,0,77,2.3,266.84,0,1
